"","superhost","pax","bedrooms","price","review_rating","latitude","longitude","entire_home","hotel_room","shared_room","mininmum_nights","maximum_nights","availability_365","number_of_reviews","fullyBooked","instant_bookable"
"57","TRUE",2,1,1536,4.85,-33.92636,18.41459,1,0,0,1,90,111,160,FALSE,"FALSE"
"58","FALSE",10,5,7000,5,-33.96919,18.4882,1,0,0,7,21,358,2,FALSE,"FALSE"
"59","FALSE",1,1,1450,3,-33.90944,18.40349,0,0,0,4,21,365,1,FALSE,"FALSE"
"60","FALSE",2,1,2100,4.33,-33.90945,18.40333,0,0,0,2,21,365,3,FALSE,"TRUE"
"61","FALSE",2,1,500,4.5,-33.9097,18.41156,1,0,0,3,30,215,36,FALSE,"FALSE"
"62","FALSE",1,1,480,4.75,-33.92748,18.40151,0,0,0,2,120,0,5,TRUE,"FALSE"
"63","TRUE",2,1,466,4.82,-33.90783,18.4044,0,0,0,1,1125,227,183,FALSE,"TRUE"
"64","FALSE",4,1,1303,3.5,-33.91659,18.41918,1,0,0,3,1124,302,4,FALSE,"TRUE"
"65","FALSE",4,1,1457,4.33,-33.91576,18.42004,1,0,0,3,1124,360,12,FALSE,"TRUE"
"66","FALSE",3,1,880,4.82,-33.93584,18.43287,1,0,0,30,1125,365,56,FALSE,"FALSE"
"67","FALSE",4,2,2200,4.66,-33.91501,18.41935,1,0,0,25,365,140,72,FALSE,"FALSE"
"68","FALSE",4,2,1727,4.25,-33.92285,18.4228,1,0,0,3,1124,359,4,FALSE,"TRUE"
"69","FALSE",8,4,5950,4.67,-33.81074,18.62143,0,0,0,4,14,358,3,FALSE,"FALSE"
"70","FALSE",2,1,500,4.86,-34.06982,18.84836,0,0,0,1,1125,365,22,FALSE,"FALSE"
"71","TRUE",3,1,625,5,-34.13877,18.33317,1,0,0,2,30,119,27,FALSE,"FALSE"
"72","FALSE",4,1,1102,3.8,-33.9289,18.42146,1,0,0,3,1124,363,10,FALSE,"TRUE"
"73","FALSE",6,2,1667,3.94,-33.91815,18.42085,1,0,0,3,1124,335,17,FALSE,"TRUE"
"74","FALSE",2,1,714,4.14,-33.92103,18.42077,1,0,0,3,1125,272,8,FALSE,"TRUE"
"75","FALSE",2,1,1408,5,-33.90922,18.40332,1,0,0,2,20,240,14,FALSE,"FALSE"
"76","FALSE",2,1,792,3.75,-33.83094,18.49603,0,0,0,4,180,364,4,FALSE,"FALSE"
"77","FALSE",6,2,1054,4.59,-33.92292,18.418,1,0,0,2,1125,264,127,FALSE,"TRUE"
"78","FALSE",4,1,2350,3.88,-33.913,18.42489,1,0,0,2,1125,345,9,FALSE,"FALSE"
"79","TRUE",2,1,943,4.82,-34.12555,18.44886,0,0,0,1,1125,354,60,FALSE,"TRUE"
"80","FALSE",2,1,1300,4.89,-33.91602,18.41923,1,0,0,5,365,127,36,FALSE,"FALSE"
"81","FALSE",2,1,714,4,-33.91191,18.41603,1,0,0,3,1124,240,7,FALSE,"TRUE"
"82","TRUE",2,1,1066,4.91,-33.91789,18.41844,1,0,0,4,1125,317,209,FALSE,"TRUE"
"83","FALSE",2,1,933,4.38,-33.91132,18.4153,0,0,0,2,1125,365,8,FALSE,"FALSE"
"84","TRUE",8,3,1496,4.57,-33.85342,18.49401,1,0,0,1,1125,243,23,FALSE,"FALSE"
"85","TRUE",5,2,1056,4.17,-33.85363,18.49401,1,0,0,1,1125,233,6,FALSE,"FALSE"
"86","TRUE",2,1,616,4.75,-33.85363,18.49401,1,0,0,1,1125,211,8,FALSE,"TRUE"
"87","FALSE",4,2,3000,4.96,-34.00874,18.34198,1,0,0,2,1125,331,29,FALSE,"TRUE"
"88","FALSE",6,3,2950,4,-34.14169,18.35443,1,0,0,2,365,363,10,FALSE,"TRUE"
"89","FALSE",2,1,859,4.45,-33.9184,18.41611,1,0,0,1,365,336,47,FALSE,"FALSE"
"90","FALSE",8,3,5000,5,-34.04267,18.42773,1,0,0,7,25,362,8,FALSE,"FALSE"
"91","FALSE",4,2,3704,4.47,-33.90081,18.40596,1,0,0,3,1124,264,17,FALSE,"TRUE"
"92","TRUE",4,2,859,4.89,-33.93607,18.46662,1,0,0,2,180,333,45,FALSE,"FALSE"
"93","FALSE",5,3,4500,4.67,-33.96057,18.37866,1,0,0,2,30,362,7,FALSE,"FALSE"
"94","FALSE",8,4,3171,4.89,-33.98541,18.44022,1,0,0,4,365,350,21,FALSE,"FALSE"
"95","FALSE",4,2,600,4.85,-33.93746,18.46708,1,0,0,3,1125,131,141,FALSE,"FALSE"
"96","TRUE",2,1,630,4.83,-33.93562,18.44327,1,0,0,2,30,365,174,FALSE,"TRUE"
"97","FALSE",1,1,236,4,-34.05592,18.85206,0,0,0,7,1125,86,4,FALSE,"FALSE"
"98","TRUE",6,3,929,4.85,-34.08444,18.47744,1,0,0,2,30,49,92,FALSE,"FALSE"
"99","TRUE",4,2,2200,5,-33.91953,18.38404,1,0,0,7,1125,255,8,FALSE,"FALSE"
"100","TRUE",2,1,1400,4.95,-33.90204,18.39954,1,0,0,3,1125,302,19,FALSE,"TRUE"
"101","TRUE",3,2,630,4.89,-33.86673,18.64441,1,0,0,2,1125,332,35,FALSE,"TRUE"
"102","TRUE",3,2,600,4.8,-33.8668,18.64443,1,0,0,2,1125,340,42,FALSE,"TRUE"
"103","TRUE",2,1,1100,4.84,-34.12637,18.44963,0,0,0,1,1125,349,50,FALSE,"TRUE"
